sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
Suberic acid	0.000561027	0.000882154	0.000781133	0.000397981	0.000782743	0.000350597	0.000282444	0.000560025	0.000846587	0.000519792	0.000967878	0.000819735	0.000812136	0.000839516	0.000845399	0.000884547	0.001974808	0.000426026	0.001843145
Oxoadipic acid	3.04E-07	3.23E-07	7.65E-07	5.63E-07	1.35E-06	5.71E-07	2.32E-07	5.30E-07	7.17E-07	1.23E-06	2.66E-07	3.35E-07	4.29E-07	3.96E-07	4.13E-07	3.05E-07	4.35E-07	4.25E-07	7.72E-07
1H-Indole-3-acetamide	0.005428378	0.002679001	0.001737984	0.002293733	0.003938449	0.002407021	0.0028888	0.002548586	0.002476968	0.004780152	0.003481106	0.002019756	0.00189339	0.006349249	0.001869638	0.00350842	0.001634133	0.003586817	0.005058417
Indole-3-carboxylic acid	2.69E-05	2.75E-05	2.77E-05	3.46E-05	1.55E-05	1.17E-05	2.93E-05	2.69E-05	7.02E-05	3.12E-05	8.30E-06	1.85E-05	2.68E-05	4.50E-05	3.86E-05	1.10E-05	6.77E-06	1.49E-05	2.94E-05
Indoleacetic acid	0.000321984	0.000209079	0.000351601	0.000264537	0.000144808	0.000178687	0.000140404	0.000346632	0.000485957	0.000439702	0.00044147	0.000217013	0.000249959	0.000230866	0.000252246	0.000223516	0.000171219	0.000529228	0.000158412
Indoleacrylic acid	2.90E-05	9.28E-06	1.95E-05	1.27E-05	1.90E-05	1.52E-05	1.84E-05	3.26E-05	1.44E-05	2.54E-05	1.41E-05	1.25E-05	1.73E-05	1.89E-05	5.80E-06	2.07E-05	1.14E-05	1.77E-05	2.93E-05
3-3-Hydroxyphenyl -3-hydroxypropanoic acid	5.50E-07	3.74E-07	6.32E-07	5.49E-07	5.44E-07	3.74E-07	1.99E-07	7.50E-07	1.32E-06	9.37E-07	3.90E-07	2.54E-07	9.98E-07	4.50E-07	2.82E-07	3.10E-07	2.82E-07	6.33E-07	2.70E-07
tryptamine	0.085152704	0.161809427	0.044159821	0.061978023	0.073787572	0.003228383	0.00466013	0.354780785	0.295262586	0.80164055	0.107071992	0.026462941	0.098919983	0.025381478	0.025490313	0.069792267	0.010766159	0.052491527	0.020006953
Indole-3-carboxaldehyde	3.14E-06	2.63E-06	5.42E-06	4.04E-06	4.41E-06	3.52E-06	5.91E-06	8.08E-06	3.82E-06	1.36E-05	1.31E-06	4.91E-06	5.14E-06	9.81E-06	3.30E-06	5.96E-06	3.89E-06	2.15E-06	7.61E-06
kynurenate	0.000297952	0.000250871	0.000258024	0.00032701	0.000636264	0.000295072	0.000643303	0.000400074	0.000313221	0.001632326	0.000133668	0.000245654	0.000383628	0.000232755	0.000284034	0.000728151	0.000157321	0.000184188	0.000172154
serotonin	0.014196772	0.005922716	0.00649066	0.010869173	0.007924377	0.002696366	0.006066482	0.012043598	0.025730948	0.0158491	0.009127882	0.006112652	0.012500641	0.004786473	0.00318349	0.003637383	0.002880096	0.006683516	0.0040247
xanthurenate	0.002762238	0.00266968	0.004185335	0.002672131	0.007059512	0.002006528	0.002927726	0.003360206	0.004279078	0.003261264	0.001644754	0.002008637	0.002983406	0.003734134	0.005596573	0.002299273	0.000526434	0.004069644	0.003816303
Vitamin B7	0.312593089	0.139451943	0.151514382	0.450696797	0.273044484	0.220353937	0.110431031	0.275561734	0.273914834	0.169175603	0.268312948	0.084335075	0.121636867	0.205244466	0.146817565	0.257088108	0.51604886	0.157038079	0.350866653
Dopamine	0.000431426	0.000342165	0.000483331	0.000728994	0.000563103	0.000253638	0.000401905	0.000538934	0.00094635	0.000623024	0.000319787	0.000405374	0.000525508	0.000425053	0.000196406	0.000399863	0.000333017	0.000369316	0.000398075
Epinephrine	6.78E-05	6.93E-05	0.000129966	0.000161713	0.000210369	7.35E-05	7.15E-05	9.13E-05	0.000210767	0.000186239	6.29E-05	9.90E-05	0.000135241	7.86E-05	8.39E-05	8.65E-05	6.66E-05	7.06E-05	0.000134268
Tyramine	0.002875676	0.001642088	0.00190598	0.002169315	0.001736745	0.001306331	0.001289539	0.002707633	0.005230155	0.0032554	0.001170524	0.002223656	0.003371121	0.001751149	0.001833642	0.001294014	0.001576719	0.001766088	0.001545339
Vanillylmandelic acid	1.49E-06	1.03E-06	1.98E-06	1.65E-06	2.07E-06	4.88E-07	1.77E-06	2.75E-06	2.81E-06	5.06E-06	9.72E-07	7.49E-07	5.99E-07	1.63E-06	9.72E-07	1.31E-06	3.00E-07	1.32E-06	8.19E-07
phenylacetylglycine	1.23E-06	3.35E-06	3.33E-06	9.21E-06	6.63E-06	6.21E-07	6.97E-07	4.86E-06	1.03E-05	6.90E-06	3.60E-05	3.05E-05	4.34E-05	8.90E-06	3.94E-05	3.59E-06	8.07E-07	1.86E-05	0.00013669
Equol	5.77E-06	4.69E-06	3.60E-06	6.97E-06	8.70E-06	1.05E-05	1.21E-05	1.09E-05	6.98E-06	2.37E-05	6.17E-06	2.85E-06	1.02E-05	4.16E-06	5.10E-06	7.46E-06	3.83E-06	6.98E-06	8.88E-06
p-hydroxyl phenylpropanol	1.14E-07	5.77E-08	6.52E-08	1.59E-07	2.53E-07	6.83E-08	1.08E-07	1.20E-07	1.42E-07	2.65E-07	4.68E-08	7.34E-08	8.88E-08	3.16E-08	4.30E-08	1.02E-07	6.18E-08	6.16E-08	5.40E-08
p-cresyl sulfate	0.056582379	0.10615196	0.09718827	0.076251836	0.063750096	0.038996297	0.0486676	0.054532273	0.085682648	0.107149705	0.074411076	0.053289519	0.141845671	0.081492149	0.16834483	0.087775435	0.122457639	0.059763587	0.185893121
arachidonoyl ethanolamide	1.226380687	1.362227665	0.742658865	1.426560414	1.002596036	0.965142024	3.898670255	1.636517308	1.235825728	3.050203734	1.250599894	1.33890003	1.207993101	0.585293899	2.492995414	2.595550039	1.871689807	1.70751692	0.552449809
Acetoin	7.71E-10	6.90E-10	1.28E-09	6.64E-10	8.66E-10	9.56E-10	8.59E-10	1.21E-09	3.59E-09	3.20E-09	6.54E-10	1.24E-09	1.42E-09	2.20E-09	1.40E-09	2.04E-09	6.38E-10	1.62E-09	1.41E-09
phenol	4.55E-06	2.97E-06	4.92E-06	6.23E-06	4.70E-06	3.48E-06	3.65E-06	1.01E-05	1.43E-05	1.26E-05	1.51E-06	6.89E-06	6.68E-06	3.03E-06	4.26E-06	3.09E-06	6.18E-06	8.27E-06	3.21E-06
Chlorogenic acid	0.000371595	0.000363712	0.000278519	0.000421826	0.000334813	0.000113957	0.00022003	0.00028957	0.000499063	0.000160802	0.000167513	0.000152543	0.000355374	0.000190343	0.000143002	0.000281181	0.000255245	0.000200998	9.33E-05
Docosanoic Acid	0.000236258	0.000333918	0.000379282	0.00021944	0.000368399	8.65E-05	0.000101986	0.000151381	0.000526714	0.000401077	0.000660015	0.000420535	0.000214903	0.000328289	0.000335087	0.000568419	0.000663184	0.000174635	0.000317055
Decanoic acid	1.26E-07	8.78E-08	1.02E-07	8.56E-08	1.21E-07	6.07E-08	1.22E-07	1.05E-07	1.95E-07	8.46E-08	1.02E-07	1.33E-07	9.46E-08	8.26E-08	8.92E-08	1.20E-07	1.57E-07	8.74E-08	2.51E-07
7Z,10Z,13Z,16Z-Docosatetraenoic acid	1.835659707	1.691812087	3.139530963	4.99509556	8.314417436	3.399374038	2.309767753	2.72413467	2.439126738	2.90880898	2.268399824	1.519986587	2.589565104	1.732358452	1.724481463	2.298562036	2.209721116	2.118187661	4.330303744
5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid	1.774082162	1.870509821	2.649395268	1.328648033	1.489822916	1.604457252	1.013952903	2.409139815	4.209749648	2.297720155	1.965007164	2.174796081	3.429383974	3.269133437	3.970595841	2.356567407	1.159545857	1.337066212	2.177056465
Gamma-Linolenic acid	7.241005419	6.611924906	14.02843848	9.130897851	5.255468279	11.77543472	8.6919013	5.810644678	6.765234889	5.965397798	20.36359466	7.046195583	11.07228632	8.413729088	18.76888464	7.380478533	4.064195051	13.5209909	9.539890499
Elaidic Acid	121.0269067	134.6508159	156.1502408	192.0648611	165.2651521	107.232586	92.12058308	116.282131	237.3260544	105.8944361	155.3223498	122.3827035	143.0243915	170.0950099	126.1550848	146.5593366	126.0624329	149.8496879	147.7093395
Hexanoic acid	0.006549434	0.005680987	0.003575202	0.011377909	0.005546476	0.003589577	0.005316661	0.003409814	0.008764031	0.004959156	0.001929289	0.003989563	0.004536702	0.001825456	0.002327322	0.002551364	0.001548398	0.007161785	0.000947346
Dodecanoic acid	0.004329088	0.004413282	0.005962919	0.006790782	0.004755952	0.004012668	0.003970638	0.003836495	0.007425667	0.004373138	0.004170129	0.003831157	0.004768166	0.006737201	0.004380702	0.004134849	0.007064105	0.004632407	0.005382023
Myristic acid	0.038617007	0.039591664	0.076100654	0.071209525	0.100879721	0.053116739	0.034826689	0.053798343	0.075285498	0.061802707	0.090349762	0.034673168	0.036879388	0.159661506	0.038413118	0.051506949	0.12466878	0.057526734	0.118220176
Oleic acid	94.76722548	52.99433529	125.4389145	73.67006768	64.85695869	51.47435149	50.84914234	69.56755952	76.13975567	51.10727729	114.2115378	63.48478482	84.39272052	54.60934489	68.00356595	74.18044732	59.82025807	75.05347487	60.304434
Palmitic acid	19.76280737	17.40929866	45.29007184	22.71907045	12.83868886	10.9082318	12.82321332	23.55708177	22.50390916	16.74667839	34.51967711	21.58978437	19.022897	22.64989304	24.56752699	13.1969488	23.25828742	25.89186407	21.01745256
Palmitoleic Acid	0.157857907	0.317605608	0.411946146	0.279538264	0.312442684	0.416835848	0.337492784	0.291054975	0.332073598	0.357834205	0.216295839	0.133609258	0.200246538	0.381529669	0.363393924	0.361897791	0.551511595	0.292930524	0.613622519
Stearic acid	33.64524045	37.50938697	54.8795612	30.11835151	40.35130696	19.27270767	13.68875965	32.0152374	47.79137658	33.67091648	50.92541272	39.51936191	39.25278224	40.53070926	33.93856911	36.4190431	48.31234726	33.29119907	34.12415875
Tricosanoic acid	0.031412207	0.053278118	0.037164271	0.051106455	0.047220316	0.013781705	0.012619302	0.019017237	0.115193477	0.036723035	0.068860588	0.071135944	0.03056703	0.067990531	0.044229538	0.068246639	0.083990244	0.035544024	0.051786639
10Z-Pentadecenoic Acid	0.013810983	0.01119522	0.022885346	0.019708048	0.018650494	0.016360336	0.009553542	0.010163575	0.016995869	0.009934481	0.017299255	0.00947148	0.012504275	0.037325141	0.019505765	0.015664247	0.019402743	0.017087106	0.02374409
11Z,14Z,17Z-Eicosatrienoic Acid	7.273322086	8.786077589	7.164369605	18.08532953	15.748756	10.00971218	6.937402826	6.030477367	9.30949685	11.80719617	5.974498634	2.844063562	4.297459388	6.77550962	5.463850017	6.840654946	6.29007175	7.057125243	14.80078903
11Z-Eicosenoic Acid	23.56146701	19.88781472	25.81207917	26.78892972	21.98144808	13.52235863	10.54881637	25.68566216	34.70958926	19.07230011	27.51464416	21.4333202	17.34907498	27.16137906	27.0799555	18.35107353	17.05401466	32.22619453	38.53544739
Arachidic Acid	2.294188904	5.337008354	5.715882997	5.516729698	3.992679274	1.220215432	1.156416546	1.979751658	9.943467988	4.446335949	7.276034463	8.025468082	3.375245367	8.535423177	4.686452807	6.991973039	13.33165885	3.141529493	7.213333133
Gamma-Aminobutyric acid	0.834814325	0.55906367	2.479958398	2.261409641	3.081245888	1.739058186	1.441729543	1.764219385	0.928201578	1.833615049	2.332684427	0.921179725	2.7725848	1.462716903	0.607384661	1.13544993	2.431816762	1.472526519	0.840950469
Glycine	0.002708067	0.002354458	0.001672809	0.001177683	0.001907104	0.00349257	0.003688257	0.002875141	0.001068704	0.00465558	0.002132099	0.001946947	0.00249406	0.002212426	0.003427796	0.001404086	0.005374689	0.002651336	0.002395583
Glycyl-L-leucine	1.600287066	2.224733582	0.295986201	0.211664594	0.304174815	1.050496825	1.643852063	1.50371266	0.283083317	1.016369519	0.228330695	2.470240612	0.894555958	0.552904811	1.947956458	1.980483415	1.797806923	1.575387394	1.145701938
L-Cystine	0.11787457	0.045294592	0.101276245	0.216449154	0.24224319	0.0816197	0.096109508	0.138431321	0.117357212	0.163027972	0.091017605	0.107445313	0.095634398	0.06124744	0.055961325	0.132283928	0.120082279	0.105226043	0.079731816
L-Glutamic acid	32.0120964	45.04597472	57.82641988	33.04244391	42.07223568	74.78803514	59.78384077	86.34273174	18.02000627	41.9098429	77.00002704	26.52618502	36.75665406	85.6441285	51.3931381	37.64823042	71.07103843	26.20881899	79.44583876
L-Glutamine	22.41235649	18.31569354	14.67515467	20.25594882	31.84627379	58.47529364	62.68028322	29.97489434	8.776838172	16.15997364	17.66659239	27.31322632	33.26274329	12.00686093	32.68643164	16.33861972	6.994248022	25.85387979	18.61172809
Ornithine	2.209938884	1.169651465	1.020232943	0.804017698	0.361319579	0.597316806	1.306531174	0.940245198	0.555132714	2.323962769	0.92713942	0.749534411	1.665667455	0.508370328	0.574013368	0.446917685	0.815083833	0.617378074	0.389755744
2,3-Diaminopropionic acid	0.331401679	0.133290699	0.332609766	0.55833623	0.45511014	0.308302681	0.23630814	0.308952324	0.200776957	0.236093221	0.398657262	0.359596614	0.284162383	0.316009823	0.155107523	1.284316084	3.415475543	0.785727932	0.235461533
5-Aminolevulinic acid	0.00600979	0.005108072	0.010459125	0.009835947	0.013623778	0.011334128	0.00443129	0.009587232	0.011102467	0.013168356	0.010630613	0.005035308	0.009202917	0.014300239	0.007693076	0.015679134	0.014232916	0.01788113	0.007243806
5-Hydroxylysine	0.000237883	0.000168704	0.000182449	0.00018165	0.000137059	0.00017524	0.000190038	0.000200104	0.000135587	0.00033065	0.000162947	0.000135404	0.000199416	0.000169295	0.000106628	0.000113606	0.000535912	0.000146235	0.000156501
